ID,Smiles,pIC50
SG-8,C=CCC1=CC(C2=CC(CC=C)=CC=C2OC(N(C)C)=O)=C(OC(N(C)C)=O)C=C1,7.270511231
113,O=C(CCCCCCCC)C1=C(C=C(C2=CC(C)=CC=C2O)O3)C3=CC=C1,7.26760624
117,O=C(CCCCCCCC)C1=C(C=C(C2=C(C(CCCCCC)=O)C=CC=C2O)O3)C3=CC=C1,7.26760624
730,O=C(c1cc(F)ccc1F)C(O)c1cc(F)ccc1F,7.258060922
738,O=C(C(=O)c1ccccc1F)c1ccccc1F,7.252588192
BP-6,COC1=CC(C(N2CCN(C3=CC=C(F)C=C3)CC2)=O)=CC(OC)=C1OC(N4CCCC4)=O,7.245575211
266,O=C(CCCCCC)C1=C(C=C(C2=CC=CC=C2NC(OCCCl)=O)O3)C3=CC=C1,7.244125144
767,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,7.241088108
114,O=C(CCCCCC)C1=C(C=C(C2=C(C(CCCCCCCC)=O)C=CC=C2O)O3)C3=CC=C1,7.236572006
89,O=C(N1CCC(CC2=CC=CC=C2)CC1)C3=C(OC(N4CCOCC4)=O)C=CC(OC(N5CCOCC5)=O)=C3,7.232769902
251,O=C(C(F)(F)F)C1=CC=C(Cl)C=C1,7.229147988
BM-20,COC1=C(OC(N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C=CC(/C=C/C(N(CC4=CC=CC=C4)CC)=O)=C1,7.21903497
750,Cc1ccc(C(=O)C(=O)c2ccc(C)cc2)cc1,7.218963061
762,O=C(C(=O)c1cc(F)ccc1F)c1cc(F)ccc1F,7.211831629
799,Cc1ccc(OC2=CC(=O)C(=O)c3ccccc32)cc1,7.211124884
SG-12,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(OC(N(C4=CC=CC=C4)C5=CC=CC=C5)=O)=CC=C31,7.200866307
SG-13,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(OC(N(CC)CC)=O)=CC=C31,7.199420378
